,Year,Country,Item,Rainfall (mm),Temperature (Celsius),Pesticides (tonnes),Yield (hg/ha)
0,1990,Albania,Barley,812.2345,144.61465,121,10000
1,1990,Albania,Carrots and turnips,812.2345,144.61465,121,150000
2,1990,Albania,Cauliflowers and broccoli,812.2345,144.61465,121,171429
3,1990,Albania,Garlic,812.2345,144.61465,121,65000
4,1990,Albania,Maize,812.2345,144.61465,121,36613
5,1990,Albania,Oats,812.2345,144.61465,121,7500
6,1990,Albania,"Onions, shallots, green",812.2345,144.61465,121,111429
7,1990,Albania,Potatoes,812.2345,144.61465,121,66667
8,1990,Albania,Rye,812.2345,144.61465,121,6667
9,1990,Albania,Wheat,812.2345,144.61465,121,30197
10,1990,Algeria,Barley,89.74373,281.1143,5743,7610
11,1990,Algeria,Carrots and turnips,89.74373,281.1143,5743,72302
12,1990,Algeria,Cauliflowers and broccoli,89.74373,281.1143,5743,79898
13,1990,Algeria,Garlic,89.74373,281.1143,5743,28107
14,1990,Algeria,Maize,89.74373,281.1143,5743,16500
15,1990,Algeria,Oats,89.74373,281.1143,5743,5032
16,1990,Algeria,"Onions, shallots, green",89.74373,281.1143,5743,85714
17,1990,Algeria,Potatoes,89.74373,281.1143,5743,78936
18,1990,Algeria,Wheat,89.74373,281.1143,5743,6315
19,1990,Angola,Maize,966.55189,263.6443,64,2736
20,1990,Angola,"Onions, shallots, green",966.55189,263.6443,64,11000
21,1990,Angola,Potatoes,966.55189,263.6443,64,40000
22,1990,Angola,Sweet potatoes,966.55189,263.6443,64,89342
23,1990,Angola,Wheat,966.55189,263.6443,64,7995
24,1990,Antigua and Barbuda,Carrots and turnips,2552.72,312.4518,8,40816
25,1990,Antigua and Barbuda,Maize,2552.72,312.4518,8,23810
26,1990,Antigua and Barbuda,Sweet potatoes,2552.72,312.4518,8,61538
27,1990,Argentina,Barley,629.5726999999999,173.94001,26156,21934
28,1990,Argentina,Carrots and turnips,629.5726999999999,173.94001,26156,182609
29,1990,Argentina,Garlic,629.5726999999999,173.94001,26156,62899
30,1990,Argentina,Hops,629.5726999999999,173.94001,26156,12000
31,1990,Argentina,Maize,629.5726999999999,173.94001,26156,34608
32,1990,Argentina,Oats,629.5726999999999,173.94001,26156,15403
33,1990,Argentina,Potatoes,629.5726999999999,173.94001,26156,202747
34,1990,Argentina,Rye,629.5726999999999,173.94001,26156,8103
35,1990,Argentina,Sweet potatoes,629.5726999999999,173.94001,26156,131864
36,1990,Argentina,Wheat,629.5726999999999,173.94001,26156,18947
37,1990,Australia,Barley,423.2581,263.6057,17866,16766
38,1990,Australia,Carrots and turnips,423.2581,263.6057,17866,354722
39,1990,Australia,Cauliflowers and broccoli,423.2581,263.6057,17866,144976
40,1990,Australia,Hops,423.2581,263.6057,17866,18562
41,1990,Australia,Maize,423.2581,263.6057,17866,41821
42,1990,Australia,Oats,423.2581,263.6057,17866,14659
43,1990,Australia,Potatoes,423.2581,263.6057,17866,289832
44,1990,Australia,Rye,423.2581,263.6057,17866,7016
45,1990,Australia,Sweet potatoes,423.2581,263.6057,17866,137140
46,1990,Australia,Wheat,423.2581,263.6057,17866,16344
47,1990,Austria,Barley,1162.8215,85.10116000000001,4246,51998
48,1990,Austria,Carrots and turnips,1162.8215,85.10116000000001,4246,356559
49,1990,Austria,Hops,1162.8215,85.10116000000001,4246,13333
50,1990,Austria,Maize,1162.8215,85.10116000000001,4246,81800
51,1990,Austria,Oats,1162.8215,85.10116000000001,4246,39402
